Episode String,Season,Episode,Shoe Name,Shoe Thumbnail,id
season-3-ep-2,3,2,Nike Air Jordan 1 Low SE ‘Spades’,https://shoesoflasso.com/wp-content/uploads/2023/03/768610_08-1024x374.webp,shoe_37
season-3-ep-3,3,3,ASIC Mexico 66 ‘Kill Bill’,https://shoesoflasso.com/wp-content/uploads/2023/03/DL408_0490_SR_FR_GLB-2.webp,shoe_38
season-3-ep-3,3,3,Nike Air Jordan 3 ‘Muslin’,https://shoesoflasso.com/wp-content/uploads/2023/03/878623_08-1024x486.webp,shoe_39
season-3-ep-4,3,4,JIMMY CHOO Diamond X Strap/F Leather Sneakers,https://shoesoflasso.com/wp-content/uploads/2023/06/Screen-Shot-2023-06-05-at-6.21.58-PM-1024x591.png,shoe_40
season-3-ep-4,3,4,Nike Waffle One Summer of Sports Pack,https://shoesoflasso.com/wp-content/uploads/2023/05/806484_08-1024x333.webp,shoe_41
season-3-ep-4,3,4,ASIC Mexico 66 ‘Kill Bill’,https://shoesoflasso.com/wp-content/uploads/2023/03/DL408_0490_SR_FR_GLB-2.webp,shoe_42
season-3-ep-5,3,5,Nike Waffle One Summer of Sports Pack,https://shoesoflasso.com/wp-content/uploads/2023/05/806484_08-1024x333.webp,shoe_43
season-3-ep-6,3,6,Eric Koston x Air Jordan 1 Low SB ‘Powder Blue’,https://shoesoflasso.com/wp-content/uploads/2023/05/534688_08.jpg-1024x362.webp,shoe_44
season-3-ep-7,3,7,Nike Blazer Low X ‘White Light Photo Blue’,https://shoesoflasso.com/wp-content/uploads/2023/05/DN6995_101.png-1024x418.webp,shoe_45
season-3-ep-8,3,8,JIMMY CHOO Diamond X Strap/F Leather Sneakers,https://shoesoflasso.com/wp-content/uploads/2023/06/Screen-Shot-2023-06-05-at-6.21.58-PM-1024x591.png,shoe_46
season-3-ep-8,3,8,Nike Blazer Low X ‘White Light Photo Blue’,https://shoesoflasso.com/wp-content/uploads/2023/05/DN6995_101.png-1024x418.webp,shoe_47
season-3-ep-8,3,8,Eric Koston x Air Jordan 1 Low SB ‘Powder Blue’,https://shoesoflasso.com/wp-content/uploads/2023/05/534688_08.jpg-1024x362.webp,shoe_48
season-3-ep-8,3,8,Nike Waffle One Summer of Sports Pack,https://shoesoflasso.com/wp-content/uploads/2023/05/806484_08-1024x333.webp,shoe_49
season-3-ep-8,3,8,ASIC Mexico 66 ‘Kill Bill’,https://shoesoflasso.com/wp-content/uploads/2023/03/DL408_0490_SR_FR_GLB-2.webp,shoe_50
season-3-ep-8,3,8,Nike Air Jordan 3 ‘Muslin’,https://shoesoflasso.com/wp-content/uploads/2023/03/878623_08-1024x486.webp,shoe_51
